niveau_etude,region,smoker,revenu_estime_mois,historique_credits,score_credit,loyer_mensuel,montant_pret
aucun,Provence-Alpes-Côte d’Azur,oui,6285.0,2.0,577.0,983.2940000000001,19764.347867278266
aucun,Provence-Alpes-Côte d’Azur,oui,1255.0,3.0,327.0,1035.16,500.0
bac+2,Normandie,oui,1439.0,0.0,509.0,892.3100000000001,500.0
master,Corse,oui,2884.0,0.0,408.0,851.738,22144.99931479974
aucun,Occitanie,non,1996.0,5.0,557.0,616.422,11326.25449697811
doctorat,Corse,oui,500.0,2.0,577.0,1056.134,500.0
bac+2,Île-de-France,non,1191.0,4.0,566.0,704.13,3326.8459813784034
aucun,Provence-Alpes-Côte d’Azur,non,706.0,2.0,652.0,703.03,21170.17087603601
aucun,Auvergne-Rhône-Alpes,oui,4170.0,1.0,553.0,802.592,500.0
bac+2,Auvergne-Rhône-Alpes,non,3486.0,3.0,581.0,648.73,3269.816402584081
bac,Auvergne-Rhône-Alpes,oui,3511.0,0.0,705.0,1055.98,500.0
bac+2,Normandie,non,2227.0,5.0,557.0,812.692,500.0
doctorat,Hauts-de-France,non,1942.0,4.0,321.0,732.624,15686.78132850265
master,Bretagne,oui,2475.0,3.0,581.0,865.6780000000001,25720.956678722483
bac,Hauts-de-France,non,1034.0,2.0,577.0,740.2379999999999,500.0
bac+2,Normandie,oui,2657.0,5.0,557.0,646.33,500.0
doctorat,Hauts-de-France,oui,3901.0,5.0,684.0,774.7239999999999,3727.548198082763
aucun,Bretagne,non,2686.0,5.0,817.0,965.4459999999999,22474.032687219635
aucun,Hauts-de-France,oui,3673.0,4.0,425.0,764.5899999999999,1039.6814070236503
doctorat,Provence-Alpes-Côte d’Azur,oui,3967.0,5.0,525.0,767.962,9547.31726536674
bac,Île-de-France,oui,1195.0,3.0,581.0,898.0419999999998,500.0
bac+2,Normandie,oui,2011.0,1.0,805.0,631.0799999999999,1113.829489318093
doctorat,Île-de-France,oui,3034.0,3.0,581.0,831.9,19524.748467578767
master,Auvergne-Rhône-Alpes,non,3667.0,2.0,580.0,761.8560000000001,9768.568084750788
master,Bretagne,oui,2991.0,2.0,577.0,826.1020000000001,3956.1305457758576
master,Île-de-France,oui,1246.0,0.0,580.0,869.5260000000001,500.0
aucun,Provence-Alpes-Côte d’Azur,oui,3298.0,3.0,784.0,265.2039,15117.602265736034
bac+2,Occitanie,non,2225.0,2.0,650.0,832.6899999999999,14448.913633781498
doctorat,Île-de-France,non,2352.0,1.0,553.0,1133.498,25896.143475960027
master,Auvergne-Rhône-Alpes,non,1659.0,4.0,684.0,850.1899999999999,20424.118436131917
bac+2,Corse,oui,2488.0,1.0,484.0,532.08,6745.451611897515
master,Normandie,non,3375.0,1.0,571.0,817.388,9432.456600866117
bac,Hauts-de-France,non,2072.0,5.0,461.0,739.762,500.0
doctorat,Normandie,non,4057.0,4.0,326.0,671.08,32056.67702970769
aucun,Normandie,oui,1380.0,3.0,581.0,628.76,500.0
bac+2,Corse,oui,2151.0,5.0,628.0,857.402,500.0
bac+2,Normandie,oui,1349.0,3.0,646.0,860.576,2970.217234330531
doctorat,Normandie,oui,3168.0,1.0,553.0,812.64,21583.85196791177
bac+2,Auvergne-Rhône-Alpes,non,3212.0,2.0,577.0,1208.838,22800.89475109125
doctorat,Occitanie,non,3343.0,2.0,348.0,962.72,6134.9710680646285
bac+2,Île-de-France,oui,3117.0,0.0,580.0,775.152,500.0
bac+2,Provence-Alpes-Côte d’Azur,oui,1289.0,5.0,557.0,802.31,500.0
bac+2,Bretagne,oui,2980.0,1.0,553.0,1105.318,19494.724237604543
doctorat,Île-de-France,oui,1907.0,5.0,557.0,414.25,500.0
aucun,Normandie,oui,2709.0,2.0,522.0,733.522,500.0
aucun,Corse,non,1697.0,2.0,340.0,567.06,500.0
bac+2,Provence-Alpes-Côte d’Azur,non,1938.0,5.0,557.0,941.8900000000001,500.0
aucun,Corse,non,3205.0,3.0,374.0,950.268,500.0
master,Île-de-France,oui,500.0,2.0,577.0,482.6199999999999,18955.86650945091
bac,Occitanie,oui,2013.0,1.0,553.0,473.8959999999999,500.0
master,Hauts-de-France,oui,546.0,3.0,581.0,804.278,500.0
doctorat,Île-de-France,non,1360.0,2.0,577.0,934.824,34232.663162465586
master,Auvergne-Rhône-Alpes,oui,2174.0,1.0,553.0,950.7280000000001,8190.753263564347
master,Auvergne-Rhône-Alpes,oui,5329.0,0.0,580.0,734.358,500.0
aucun,Provence-Alpes-Côte d’Azur,non,1476.0,5.0,557.0,854.3100000000001,500.0
bac+2,Occitanie,oui,2950.0,5.0,381.0,635.04,8579.126158269033
bac,Provence-Alpes-Côte d’Azur,oui,1623.0,0.0,358.0,820.8900000000001,500.0
bac,Provence-Alpes-Côte d’Azur,oui,2834.0,2.0,577.0,734.644,7275.274272172118
doctorat,Normandie,oui,1985.0,2.0,577.0,939.4,500.0
master,Hauts-de-France,oui,3389.0,0.0,806.0,891.9200000000001,500.0
bac,Provence-Alpes-Côte d’Azur,non,3724.0,3.0,581.0,658.432,21122.961389310374
bac,Auvergne-Rhône-Alpes,non,500.0,2.0,577.0,821.9,2652.4243939331814
master,Normandie,non,4364.0,0.0,580.0,927.848,30990.60213328678
master,Bretagne,non,2944.0,4.0,576.0,627.48,16790.505552595772
aucun,Hauts-de-France,non,2026.0,3.0,736.0,511.742,500.0
doctorat,Île-de-France,oui,3895.0,4.0,305.0,782.57,26830.76427175912
bac,Occitanie,oui,2846.0,2.0,577.0,745.922,500.0
aucun,Occitanie,non,1787.0,4.0,335.0,1028.93,500.0
bac+2,Auvergne-Rhône-Alpes,non,2324.0,2.0,387.0,688.5319999999999,500.0
bac,Corse,oui,2303.0,2.0,378.0,1283.23,500.0
aucun,Bretagne,non,3360.0,5.0,732.0,563.0400000000001,19703.480412800287
master,Corse,non,2251.0,4.0,576.0,659.45,12152.228172828332
bac+2,Normandie,oui,2394.0,4.0,726.0,1014.7880000000001,12317.093619693276
bac+2,Île-de-France,oui,2753.0,0.0,484.0,543.38,500.0
bac,Provence-Alpes-Côte d’Azur,oui,2441.0,0.0,580.0,824.8100000000001,500.0
master,Île-de-France,oui,2484.0,2.0,839.0,809.838,13403.464193304111
doctorat,Île-de-France,oui,3411.0,1.0,422.0,893.082,28468.332550649942
bac,Normandie,oui,4744.0,5.0,761.0,1067.7759999999998,15944.351571310635
master,Hauts-de-France,oui,500.0,1.0,440.0,837.7660000000002,500.0
doctorat,Hauts-de-France,oui,2270.0,4.0,576.0,1220.4,9981.382567383063
bac,Occitanie,non,3577.0,1.0,553.0,828.86,8908.267124870377
bac,Provence-Alpes-Côte d’Azur,non,3146.0,0.0,580.0,922.6779999999999,500.0
master,Île-de-France,non,1765.0,5.0,557.0,862.46,12869.386140401331
bac+2,Hauts-de-France,non,1414.0,5.0,651.0,265.2039,7879.098508780672
aucun,Auvergne-Rhône-Alpes,oui,2773.0,1.0,553.0,1045.85,500.0
doctorat,Île-de-France,oui,3732.0,0.0,755.0,817.408,10625.676850883963
bac,Provence-Alpes-Côte d’Azur,non,4034.0,5.0,557.0,496.66,13979.88369121042
master,Provence-Alpes-Côte d’Azur,non,4370.0,5.0,557.0,889.0780000000001,43423.72961798803
bac+2,Corse,non,1039.0,4.0,576.0,782.81,5377.4359066227125
master,Auvergne-Rhône-Alpes,oui,3829.0,1.0,553.0,605.3019999999999,500.0
doctorat,Corse,non,5645.0,5.0,690.0,735.356,23263.81823794237
aucun,Auvergne-Rhône-Alpes,non,3562.0,5.0,753.0,1086.9720000000002,25932.37750370768
aucun,Île-de-France,oui,2258.0,2.0,577.0,738.0439999999999,500.0
master,Corse,oui,2938.0,1.0,553.0,789.244,500.0
bac+2,Corse,non,2842.0,4.0,576.0,845.826,14628.460631927765
aucun,Île-de-France,oui,3055.0,2.0,686.0,1026.402,500.0
master,Bretagne,oui,2490.0,2.0,577.0,798.15,500.0
doctorat,Île-de-France,oui,3060.0,3.0,739.0,826.216,8243.367217368506
aucun,Normandie,oui,2997.0,3.0,805.0,688.184,500.0
aucun,Occitanie,non,2200.0,0.0,580.0,949.5260000000001,17015.694884436813
aucun,Occitanie,oui,2232.0,2.0,569.0,564.1780000000001,500.0
doctorat,Bretagne,non,500.0,5.0,557.0,806.098,500.0
bac+2,Normandie,oui,500.0,5.0,557.0,548.06,500.0
aucun,Corse,non,3329.0,0.0,612.0,633.696,500.0
bac,Auvergne-Rhône-Alpes,oui,500.0,1.0,456.0,650.918,500.0
doctorat,Normandie,oui,1181.0,4.0,576.0,840.9359999999999,500.0
master,Bretagne,non,3401.0,4.0,465.0,844.3279999999999,32916.89585109401
master,Occitanie,oui,1410.0,4.0,576.0,922.086,500.0
bac,Provence-Alpes-Côte d’Azur,non,2371.0,4.0,825.0,543.26,23746.99647292048
doctorat,Provence-Alpes-Côte d’Azur,oui,500.0,3.0,513.0,713.5759999999999,500.0
doctorat,Corse,oui,2564.0,4.0,576.0,663.52,500.0
bac+2,Corse,non,2306.0,0.0,580.0,1007.164,500.0
master,Occitanie,non,500.0,0.0,580.0,656.9540000000001,17036.680201676703
aucun,Normandie,oui,2655.0,1.0,321.0,680.7280000000001,500.0
bac,Normandie,oui,4143.0,3.0,581.0,695.612,4492.145732725343
aucun,Occitanie,oui,1449.0,3.0,581.0,804.706,500.0
doctorat,Occitanie,non,2670.0,3.0,801.0,564.33,36896.60980019855
doctorat,Occitanie,non,2189.0,2.0,577.0,835.358,1998.9243449274347
master,Hauts-de-France,oui,2903.0,1.0,807.0,1055.61,500.0
aucun,Auvergne-Rhône-Alpes,non,2470.0,1.0,464.0,950.7300000000001,10783.05855056268
bac+2,Occitanie,non,500.0,3.0,400.0,656.9540000000001,12534.086087338055
doctorat,Normandie,oui,2481.0,5.0,579.0,792.6560000000001,14225.3372344427
bac+2,Bretagne,non,1767.0,2.0,577.0,992.53,15635.971719797486
bac,Hauts-de-France,non,943.0,2.0,360.0,1044.474,5572.693231935993
aucun,Bretagne,non,2779.0,3.0,411.0,867.7819999999999,500.0
aucun,Île-de-France,non,1621.0,3.0,385.0,945.82,16177.121288527109
aucun,Provence-Alpes-Côte d’Azur,non,2796.0,4.0,576.0,790.2540000000001,12787.499641856708
bac,Occitanie,oui,1641.0,4.0,576.0,713.54,500.0
bac+2,Bretagne,non,500.0,0.0,331.0,806.098,3602.0572172903267
aucun,Occitanie,non,3212.0,5.0,557.0,1208.838,2371.972611770464
aucun,Île-de-France,non,2613.0,0.0,670.0,1026.8200000000002,7438.027916673134
doctorat,Hauts-de-France,non,5345.0,1.0,363.0,734.358,28168.06385337335
aucun,Hauts-de-France,non,1776.0,1.0,553.0,477.98199999999997,500.0
doctorat,Normandie,non,4510.0,5.0,557.0,1105.118,14476.711366790529
bac,Provence-Alpes-Côte d’Azur,non,3432.0,1.0,553.0,864.9620000000001,28433.95647982497
doctorat,Provence-Alpes-Côte d’Azur,non,4102.0,1.0,553.0,923.142,43887.63323854497
aucun,Provence-Alpes-Côte d’Azur,non,2161.0,3.0,581.0,421.1,500.0
bac+2,Normandie,non,3974.0,4.0,303.0,653.044,23670.74957331744
bac+2,Corse,oui,1245.0,4.0,576.0,760.462,500.0
aucun,Hauts-de-France,oui,3991.0,1.0,553.0,752.284,500.0
bac,Normandie,oui,3686.0,2.0,390.0,566.08,7549.507251288014
aucun,Bretagne,oui,2768.0,5.0,557.0,1002.6780000000001,6847.684831678455
bac,Hauts-de-France,oui,1326.0,5.0,557.0,856.0459999999999,500.0
bac+2,Île-de-France,non,1272.0,1.0,553.0,770.01,500.0
bac,Hauts-de-France,non,2320.0,5.0,557.0,752.984,13337.63621486146
bac+2,Bretagne,non,500.0,4.0,562.0,806.098,12483.11135845582
master,Provence-Alpes-Côte d’Azur,non,2521.0,4.0,576.0,663.058,27258.509415783898
bac+2,Provence-Alpes-Côte d’Azur,non,565.0,4.0,468.0,734.92,500.0
bac,Auvergne-Rhône-Alpes,non,626.0,3.0,655.0,770.38,500.0
master,Normandie,oui,3646.0,1.0,553.0,543.18,500.0
doctorat,Hauts-de-France,oui,869.0,3.0,484.0,1053.52,500.0
master,Auvergne-Rhône-Alpes,oui,3370.0,3.0,844.0,778.9879999999999,26325.54973326867
bac+2,Hauts-de-France,oui,1974.0,4.0,576.0,695.816,9046.498896998608
bac,Île-de-France,non,3330.0,5.0,557.0,633.6960000000001,24341.10694073292
doctorat,Corse,non,3155.0,2.0,510.0,737.7659999999998,500.0
aucun,Auvergne-Rhône-Alpes,oui,3151.0,5.0,363.0,779.8300000000002,500.0
bac,Auvergne-Rhône-Alpes,non,2542.0,2.0,421.0,955.692,500.0
