sport_licence,niveau_etude,region,smoker,nb_enfants,revenu_estime_mois,historique_credits,score_credit,loyer_mensuel,montant_pret
non,doctorat,Bretagne,non,1,3018.0,3.0,328.0,889.7639999999999,500.0
non,master,Hauts-de-France,non,3,4921.0,4.0,573.0,840.086,500.0
oui,aucun,Corse,non,1,2369.0,4.0,573.0,1011.5,500.0
non,bac,Île-de-France,oui,2,4242.0,3.0,849.0,765.9480000000001,525.9216548946995
oui,aucun,Occitanie,non,-1,2803.0,2.0,570.0,853.842,5283.578467374318
non,aucun,Occitanie,non,2,3256.0,0.0,473.0,828.76,500.0
non,bac,Hauts-de-France,oui,4,3717.0,2.0,570.0,735.546,13170.559304605247
oui,master,Corse,oui,2,3439.0,0.0,361.0,893.418,942.2444110939668
oui,doctorat,Provence-Alpes-Côte d’Azur,non,2,686.0,1.0,375.0,761.7760000000001,12270.06665872613
non,aucun,Bretagne,oui,2,3780.0,3.0,502.0,613.574,1147.9499177521698
oui,bac,Auvergne-Rhône-Alpes,non,1,4590.0,5.0,578.0,766.4380000000001,25361.899125577955
oui,doctorat,Auvergne-Rhône-Alpes,oui,1,1762.0,2.0,570.0,913.01,8395.400810142952
non,aucun,Occitanie,oui,1,743.0,4.0,713.0,820.5380000000001,1991.076420631058
non,bac+2,Occitanie,oui,3,2175.0,2.0,649.0,930.418,14002.865498517638
non,doctorat,Auvergne-Rhône-Alpes,oui,3,2106.0,5.0,578.0,940.976,24090.770841341116
non,bac+2,Provence-Alpes-Côte d’Azur,oui,1,1714.0,2.0,342.0,755.18,500.0
oui,master,Auvergne-Rhône-Alpes,non,3,4205.0,5.0,507.0,959.2,8633.339757804348
non,master,Auvergne-Rhône-Alpes,non,2,1022.0,2.0,570.0,1181.95,22176.96596468062
non,bac+2,Île-de-France,oui,2,2332.0,0.0,560.0,717.2379999999999,500.0
non,bac+2,Île-de-France,oui,4,3667.0,1.0,582.0,942.7860000000001,500.0
oui,aucun,Occitanie,oui,1,3765.0,3.0,575.0,783.996,500.0
oui,bac,Île-de-France,oui,2,1640.0,4.0,573.0,960.6719999999999,3720.305007666426
non,doctorat,Île-de-France,oui,0,2077.0,5.0,496.0,1132.9899999999998,6069.528722438526
oui,master,Provence-Alpes-Côte d’Azur,oui,3,2456.0,2.0,570.0,702.722,9295.06139134704
oui,doctorat,Hauts-de-France,non,1,2380.0,4.0,573.0,754.406,25969.31390156188
oui,bac,Hauts-de-France,non,0,3773.0,2.0,570.0,630.172,500.0
oui,aucun,Hauts-de-France,non,1,2556.0,0.0,322.0,958.3460000000001,500.0
non,aucun,Provence-Alpes-Côte d’Azur,non,2,1498.0,1.0,483.0,991.36,500.0
non,master,Bretagne,non,1,3673.0,3.0,604.0,842.32,15447.487891752608
oui,bac+2,Provence-Alpes-Côte d’Azur,non,2,1517.0,2.0,570.0,871.75,33039.482262154605
non,bac,Occitanie,non,2,942.0,5.0,578.0,532.47,2814.291214417311
oui,bac,Hauts-de-France,non,5,3369.0,2.0,570.0,674.35,6485.522432905486
non,aucun,Occitanie,non,0,2437.0,3.0,746.0,663.9379999999999,500.0
oui,aucun,Auvergne-Rhône-Alpes,non,1,1198.0,0.0,485.0,937.9380000000001,500.0
oui,master,Occitanie,oui,1,2751.0,3.0,575.0,625.9,500.0
non,bac+2,Bretagne,oui,1,3397.0,1.0,582.0,752.92,500.0
oui,doctorat,Île-de-France,oui,2,1656.0,3.0,575.0,809.32,26592.283270461885
oui,aucun,Corse,oui,1,3914.0,5.0,578.0,573.5,500.0
oui,master,Occitanie,non,4,500.0,3.0,575.0,713.09,22780.31709737975
non,doctorat,Normandie,oui,3,2608.0,3.0,575.0,744.13,11814.00760141825
oui,aucun,Auvergne-Rhône-Alpes,non,2,1177.0,5.0,373.0,836.5040000000001,500.0
oui,doctorat,Hauts-de-France,oui,2,3827.0,1.0,582.0,646.21,500.0
oui,master,Île-de-France,non,1,2915.0,0.0,560.0,887.43,34110.298298145535
oui,bac,Île-de-France,non,0,2129.0,2.0,570.0,982.432,649.5630251954094
oui,aucun,Île-de-France,non,0,2195.0,0.0,560.0,945.86,500.0
non,master,Auvergne-Rhône-Alpes,oui,0,4777.0,3.0,601.0,611.9159999999999,2241.440919642173
oui,aucun,Corse,oui,2,1202.0,1.0,547.0,885.46,500.0
non,bac+2,Auvergne-Rhône-Alpes,oui,0,1829.0,2.0,570.0,502.188,500.0
oui,doctorat,Occitanie,oui,1,3887.0,2.0,348.0,885.75,2229.452478450251
oui,doctorat,Provence-Alpes-Côte d’Azur,oui,3,2206.0,0.0,722.0,754.332,32273.14558335014
non,doctorat,Hauts-de-France,non,2,500.0,2.0,787.0,675.4100000000001,29705.629787002348
non,bac+2,Occitanie,non,-1,3604.0,2.0,498.0,583.38,500.0
oui,aucun,Île-de-France,non,2,2714.0,5.0,578.0,995.778,500.0
non,master,Auvergne-Rhône-Alpes,non,-4,2687.0,3.0,575.0,1013.0899999999999,500.0
non,doctorat,Provence-Alpes-Côte d’Azur,oui,2,2241.0,0.0,772.0,731.22,14663.468950597158
non,aucun,Hauts-de-France,oui,0,1879.0,2.0,570.0,759.104,500.0
non,master,Normandie,non,3,1654.0,3.0,575.0,706.35,500.0
non,bac+2,Corse,non,0,1642.0,5.0,578.0,933.5199999999999,500.0
oui,master,Hauts-de-France,non,0,3600.0,3.0,381.0,454.038,16922.25195186645
non,aucun,Occitanie,oui,1,1736.0,2.0,570.0,721.078,500.0
oui,master,Provence-Alpes-Côte d’Azur,non,1,786.0,1.0,582.0,808.766,4838.792686019202
non,aucun,Auvergne-Rhône-Alpes,oui,2,6228.0,0.0,354.0,505.03,500.0
oui,bac,Occitanie,non,0,2327.0,3.0,575.0,805.8239999999998,500.0
non,bac+2,Hauts-de-France,oui,0,1099.0,3.0,575.0,686.0400000000001,500.0
oui,master,Corse,non,2,3830.0,5.0,308.0,646.21,500.0
oui,aucun,Occitanie,oui,1,1505.0,3.0,576.0,903.2940000000001,500.0
non,bac,Normandie,non,1,2321.0,0.0,560.0,946.14,500.0
non,master,Occitanie,oui,0,1549.0,2.0,570.0,772.568,500.0
oui,bac,Hauts-de-France,non,4,2841.0,4.0,573.0,649.146,20359.14263743785
oui,bac,Occitanie,oui,3,2284.0,5.0,578.0,1035.23,16987.09552051339
non,bac+2,Bretagne,oui,1,4029.0,4.0,573.0,930.268,11396.277028540822
oui,bac,Auvergne-Rhône-Alpes,oui,0,3122.0,1.0,582.0,774.51,500.0
non,aucun,Corse,non,1,4148.0,5.0,578.0,769.87,500.0
non,bac+2,Auvergne-Rhône-Alpes,oui,1,695.0,5.0,578.0,881.016,500.0
oui,master,Île-de-France,oui,2,1799.0,4.0,421.0,736.986,15232.197838487937
oui,aucun,Occitanie,oui,2,3680.0,5.0,737.0,905.4399999999999,8232.208869774784
non,master,Provence-Alpes-Côte d’Azur,oui,3,4727.0,5.0,458.0,547.086,27080.061169135097
non,master,Île-de-France,oui,3,4288.0,4.0,679.0,839.9459999999999,18906.9193030344
oui,bac+2,Bretagne,oui,2,3662.0,4.0,733.0,969.83,24065.571824604594
oui,aucun,Provence-Alpes-Côte d’Azur,non,1,912.0,3.0,626.0,848.11,500.0
non,bac,Auvergne-Rhône-Alpes,non,1,2460.0,0.0,515.0,685.5899999999999,500.0
oui,bac,Bretagne,non,2,2008.0,1.0,582.0,726.206,500.0
oui,bac,Occitanie,non,1,1818.0,4.0,517.0,360.11,500.0
non,master,Occitanie,oui,2,2957.0,5.0,578.0,633.902,6118.426138861176
non,bac,Occitanie,non,3,2198.0,2.0,441.0,832.454,13025.400471408417
oui,aucun,Île-de-France,non,2,1193.0,1.0,608.0,1013.83,18497.083878446258
oui,master,Auvergne-Rhône-Alpes,oui,2,3557.0,2.0,843.0,694.626,22311.581737233337
oui,bac,Auvergne-Rhône-Alpes,non,1,3773.0,2.0,699.0,729.394,500.0
oui,doctorat,Hauts-de-France,non,0,2844.0,0.0,560.0,484.19399999999996,500.0
non,doctorat,Provence-Alpes-Côte d’Azur,non,0,2938.0,5.0,578.0,888.7199999999999,500.0
oui,bac+2,Provence-Alpes-Côte d’Azur,non,2,3879.0,0.0,560.0,861.302,500.0
non,master,Auvergne-Rhône-Alpes,oui,1,4197.0,1.0,582.0,833.1700000000001,500.0
oui,bac+2,Auvergne-Rhône-Alpes,non,3,1689.0,0.0,560.0,816.68,29780.01970191709
oui,bac+2,Occitanie,oui,0,869.0,0.0,560.0,1008.06,500.0
oui,bac+2,Île-de-France,non,1,3739.0,2.0,570.0,513.96,4073.275744228335
non,bac,Auvergne-Rhône-Alpes,oui,-2,1727.0,2.0,595.0,758.28,500.0
oui,master,Provence-Alpes-Côte d’Azur,non,0,2085.0,0.0,717.0,1110.9,8036.926835295528
non,bac,Auvergne-Rhône-Alpes,non,2,3677.0,1.0,582.0,866.1899999999999,18508.072744337143
non,bac+2,Bretagne,oui,3,2725.0,0.0,560.0,849.8100000000001,500.0
non,aucun,Provence-Alpes-Côte d’Azur,non,4,500.0,2.0,570.0,870.742,10529.209107225804
oui,master,Corse,non,2,2957.0,5.0,590.0,260.35810000000004,28031.7014101457
oui,aucun,Corse,non,0,1386.0,1.0,582.0,1007.6360000000001,500.0
oui,doctorat,Corse,oui,1,2650.0,1.0,649.0,351.97,8812.344456114333
oui,master,Île-de-France,non,0,1215.0,4.0,626.0,869.0019999999998,500.0
non,aucun,Île-de-France,non,1,2013.0,4.0,450.0,785.478,500.0
oui,master,Provence-Alpes-Côte d’Azur,oui,1,3998.0,2.0,569.0,690.1339999999999,18094.12546371585
oui,doctorat,Corse,oui,4,1786.0,4.0,496.0,784.7479999999999,18657.275774742106
oui,aucun,Hauts-de-France,non,1,833.0,0.0,588.0,606.9340000000001,500.0
non,master,Normandie,oui,0,1799.0,1.0,490.0,754.588,500.0
non,bac,Corse,non,3,4414.0,3.0,630.0,916.086,17699.173265350273
oui,bac+2,Corse,non,1,1816.0,3.0,796.0,745.842,4761.08351981037
oui,master,Île-de-France,non,2,1249.0,2.0,579.0,666.418,4818.502890286607
non,master,Île-de-France,non,2,3624.0,5.0,578.0,794.5360000000001,500.0
oui,doctorat,Occitanie,non,0,2496.0,5.0,578.0,596.4440000000001,7138.762735234996
oui,doctorat,Auvergne-Rhône-Alpes,non,3,4746.0,5.0,578.0,610.05,56461.97791911173
oui,bac,Corse,non,5,3298.0,3.0,346.0,793.3,28626.39798787251
oui,bac+2,Corse,oui,3,3314.0,0.0,560.0,739.01,6190.113683028287
oui,bac,Île-de-France,oui,1,4059.0,4.0,573.0,633.36,500.0
oui,bac+2,Bretagne,oui,6,2622.0,5.0,309.0,1298.3356,29814.937290839844
oui,master,Hauts-de-France,oui,4,1208.0,3.0,575.0,848.8860000000001,500.0
oui,master,Provence-Alpes-Côte d’Azur,non,4,2284.0,2.0,570.0,690.95,16795.397739079275
non,aucun,Bretagne,non,1,3624.0,0.0,404.0,692.55,500.0
non,bac+2,Île-de-France,oui,0,3746.0,0.0,607.0,840.96,12271.756592178808
oui,bac+2,Bretagne,oui,0,2655.0,0.0,560.0,870.914,1503.7172445563097
oui,master,Occitanie,non,1,2679.0,3.0,447.0,1055.394,500.0
oui,bac+2,Hauts-de-France,oui,2,2438.0,3.0,575.0,828.93,500.0
oui,doctorat,Hauts-de-France,non,1,1441.0,1.0,846.0,458.29400000000004,20767.919659685027
non,master,Île-de-France,non,1,3608.0,3.0,472.0,621.1360000000001,500.0
non,bac,Hauts-de-France,oui,1,1809.0,5.0,578.0,322.1,500.0
non,bac,Hauts-de-France,oui,2,3297.0,0.0,560.0,922.7160000000001,500.0
non,bac,Occitanie,oui,1,1469.0,4.0,573.0,1024.09,500.0
non,bac+2,Bretagne,oui,0,957.0,4.0,573.0,690.91,500.0
non,doctorat,Occitanie,oui,0,4364.0,3.0,575.0,715.332,500.0
oui,bac,Normandie,non,1,500.0,0.0,560.0,671.494,1523.340236271127
non,bac,Normandie,non,2,2187.0,2.0,801.0,1086.27,23239.858853569007
non,bac,Auvergne-Rhône-Alpes,non,0,2552.0,5.0,486.0,952.3639999999999,500.0
non,bac,Occitanie,oui,1,3685.0,1.0,602.0,926.76,500.0
non,bac+2,Occitanie,non,1,3894.0,1.0,446.0,816.42,18273.85934788975
non,aucun,Occitanie,non,1,1796.0,5.0,578.0,630.27,500.0
oui,master,Provence-Alpes-Côte d’Azur,non,1,1925.0,4.0,573.0,831.756,18455.13234032478
oui,master,Normandie,oui,0,2088.0,1.0,517.0,954.79,500.0
oui,bac+2,Provence-Alpes-Côte d’Azur,non,4,3385.0,4.0,573.0,683.574,34423.96104480024
oui,aucun,Normandie,non,0,2389.0,0.0,583.0,848.6659999999999,500.0
non,bac,Normandie,oui,0,869.0,0.0,684.0,683.8659999999999,500.0
non,bac,Bretagne,non,0,4228.0,2.0,834.0,730.23,27249.21434434106
oui,doctorat,Auvergne-Rhône-Alpes,oui,0,1549.0,1.0,582.0,772.568,12021.190189928564
oui,master,Provence-Alpes-Côte d’Azur,non,3,3680.0,4.0,573.0,689.33,8834.970527596277
non,master,Corse,non,3,3958.0,3.0,609.0,905.034,500.0
oui,aucun,Normandie,non,1,2592.0,4.0,573.0,722.1759999999999,500.0
non,doctorat,Auvergne-Rhône-Alpes,oui,1,1972.0,3.0,575.0,787.9340000000001,13813.401395801417
oui,master,Normandie,non,2,500.0,3.0,575.0,671.494,500.0
oui,aucun,Provence-Alpes-Côte d’Azur,non,3,3167.0,5.0,567.0,857.292,26884.57001613465
oui,master,Auvergne-Rhône-Alpes,oui,2,4259.0,5.0,452.0,572.822,24828.752245553707
non,bac+2,Île-de-France,oui,2,1954.0,2.0,794.0,791.3800000000001,9678.58014651794
oui,doctorat,Auvergne-Rhône-Alpes,oui,3,1801.0,2.0,806.0,798.8059999999999,500.0
non,bac+2,Corse,non,3,897.0,1.0,582.0,819.814,4520.506354956131
non,doctorat,Provence-Alpes-Côte d’Azur,non,0,2723.0,2.0,718.0,851.058,13786.883105494668
non,bac+2,Provence-Alpes-Côte d’Azur,oui,2,821.0,5.0,578.0,859.9979999999999,500.0
non,master,Provence-Alpes-Côte d’Azur,oui,0,2435.0,5.0,578.0,883.2,5912.492581135138
oui,doctorat,Hauts-de-France,non,0,5690.0,3.0,324.0,808.24,3616.424194140886
oui,bac,Occitanie,non,1,2998.0,1.0,582.0,439.52,5034.741909907433
non,bac+2,Corse,oui,3,1845.0,0.0,745.0,536.424,500.0
non,bac,Corse,oui,3,2685.0,2.0,570.0,1216.878,500.0
non,doctorat,Corse,non,1,1272.0,5.0,613.0,813.6,1227.5865534500588
oui,doctorat,Hauts-de-France,non,0,2624.0,3.0,562.0,891.78,23221.399167472908
oui,master,Provence-Alpes-Côte d’Azur,oui,4,2408.0,1.0,505.0,880.2760000000001,2205.920199980802
oui,aucun,Occitanie,non,0,3476.0,1.0,824.0,754.906,500.0
non,bac,Normandie,oui,2,2151.0,2.0,843.0,512.31,500.0
non,aucun,Île-de-France,oui,1,1519.0,5.0,578.0,600.758,500.0
oui,bac+2,Provence-Alpes-Côte d’Azur,oui,0,3232.0,1.0,391.0,828.396,500.0
non,doctorat,Île-de-France,non,3,1811.0,5.0,578.0,674.266,1455.6071017893228
oui,bac,Bretagne,non,4,3868.0,5.0,760.0,727.75,46409.0910791451
non,aucun,Occitanie,oui,4,2294.0,1.0,443.0,911.96,500.0
oui,aucun,Corse,non,2,2740.0,2.0,570.0,857.7880000000001,9534.088145511838
non,master,Corse,oui,2,4762.0,3.0,770.0,933.72,1367.3401133114949
oui,bac,Île-de-France,non,1,2994.0,4.0,573.0,833.3299999999999,24395.738550765163
oui,master,Normandie,non,0,4195.0,4.0,803.0,811.86,500.0
oui,bac,Occitanie,oui,0,2280.0,5.0,617.0,835.9860000000001,500.0
non,bac+2,Corse,non,0,823.0,0.0,560.0,738.118,500.0
non,aucun,Hauts-de-France,non,3,1633.0,1.0,582.0,779.1600000000001,500.0
oui,doctorat,Normandie,oui,2,2897.0,4.0,608.0,853.6299999999999,28938.94641199485
oui,bac+2,Hauts-de-France,non,3,3255.0,2.0,432.0,892.4460000000001,33480.26152348707
oui,aucun,Provence-Alpes-Côte d’Azur,non,2,892.0,5.0,577.0,819.814,500.0
non,aucun,Hauts-de-France,oui,3,500.0,3.0,530.0,675.4100000000001,500.0
oui,bac+2,Occitanie,oui,2,1896.0,0.0,560.0,655.22,500.0
oui,bac+2,Auvergne-Rhône-Alpes,non,3,3698.0,0.0,333.0,800.64,27889.801721979256
oui,master,Auvergne-Rhône-Alpes,oui,0,3764.0,4.0,303.0,783.9959999999999,13743.251540246923
non,master,Corse,oui,0,1573.0,4.0,573.0,883.3199999999999,500.0
non,master,Hauts-de-France,non,3,2296.0,2.0,391.0,693.962,11728.33231666558
non,bac,Île-de-France,oui,3,2402.0,0.0,314.0,1054.28,500.0
oui,master,Corse,non,1,3048.0,2.0,392.0,819.184,500.0
non,master,Hauts-de-France,oui,1,3321.0,0.0,560.0,703.89,6531.549995136174
oui,doctorat,Corse,oui,2,3843.0,5.0,578.0,741.25,26761.175676507217
oui,master,Corse,non,1,1003.0,2.0,749.0,672.8,13754.324501760526
non,master,Provence-Alpes-Côte d’Azur,non,3,2178.0,3.0,478.0,762.322,28700.048337846136
oui,aucun,Normandie,oui,0,3929.0,3.0,575.0,812.4240000000001,500.0
non,bac,Bretagne,oui,0,801.0,0.0,560.0,841.41,500.0
oui,bac,Auvergne-Rhône-Alpes,non,0,3880.0,1.0,681.0,1110.99,35132.586032868225
oui,master,Corse,oui,0,2096.0,0.0,656.0,753.718,500.0
non,doctorat,Provence-Alpes-Côte d’Azur,non,2,500.0,1.0,582.0,870.742,500.0
non,master,Corse,non,1,957.0,5.0,578.0,833.314,500.0
oui,master,Bretagne,oui,2,2486.0,3.0,575.0,1158.3,500.0
non,bac,Bretagne,non,0,1439.0,5.0,668.0,532.9399999999999,6124.436592885223
non,bac+2,Corse,non,3,1169.0,4.0,573.0,706.534,500.0
non,bac,Bretagne,oui,4,500.0,0.0,693.0,464.49399999999997,685.615805836328
oui,doctorat,Corse,non,2,3363.0,3.0,428.0,742.118,18241.82410718936
non,bac+2,Hauts-de-France,oui,1,2237.0,3.0,575.0,685.0020000000001,500.0
oui,bac+2,Normandie,oui,1,1300.0,2.0,570.0,729.892,743.5549959593359
oui,bac,Occitanie,non,3,4101.0,0.0,737.0,741.866,28225.122151950512
oui,aucun,Hauts-de-France,oui,1,960.0,1.0,582.0,791.404,500.0
non,aucun,Corse,oui,1,1822.0,1.0,746.0,802.396,500.0
non,bac+2,Bretagne,non,3,2564.0,1.0,442.0,811.386,19920.19056127024
non,bac,Auvergne-Rhône-Alpes,non,0,2827.0,5.0,578.0,742.7280000000001,9593.791618959578
non,bac+2,Hauts-de-France,oui,3,2125.0,0.0,648.0,644.6460000000001,7909.537751233449
non,doctorat,Normandie,oui,1,824.0,1.0,656.0,697.9159999999999,1343.5397259550882
oui,master,Bretagne,non,1,1970.0,3.0,575.0,915.57,12943.575652546377
oui,doctorat,Île-de-France,non,3,1224.0,2.0,570.0,849.418,19823.85117179108
non,master,Auvergne-Rhône-Alpes,non,2,3163.0,3.0,575.0,670.704,500.0
non,doctorat,Île-de-France,oui,5,3124.0,0.0,560.0,639.3240000000001,33235.714902235435
non,bac+2,Île-de-France,oui,2,3377.0,0.0,560.0,771.0339999999999,12770.70187987893
non,aucun,Provence-Alpes-Côte d’Azur,non,2,2850.0,4.0,573.0,711.8759999999999,500.0
oui,master,Occitanie,oui,-1,3381.0,4.0,619.0,732.9440000000001,500.0
oui,bac+2,Provence-Alpes-Côte d’Azur,non,5,2230.0,1.0,582.0,755.9820000000001,20118.279214775204
non,bac+2,Provence-Alpes-Côte d’Azur,oui,1,1989.0,0.0,560.0,716.3879999999999,500.0
non,bac,Auvergne-Rhône-Alpes,oui,0,637.0,5.0,578.0,761.7560000000001,500.0
oui,aucun,Normandie,non,1,2020.0,4.0,729.0,869.232,5504.296436222298
oui,bac,Auvergne-Rhône-Alpes,oui,1,2108.0,1.0,643.0,919.6460000000001,500.0
non,bac+2,Auvergne-Rhône-Alpes,non,3,3046.0,2.0,723.0,551.04,20002.965575235496
oui,aucun,Occitanie,non,3,3074.0,2.0,438.0,712.4620000000001,7321.845987959571
oui,bac+2,Hauts-de-France,non,1,2426.0,0.0,552.0,827.068,500.0
oui,master,Normandie,oui,1,3354.0,5.0,713.0,616.0440000000001,19499.356778189875
non,doctorat,Occitanie,oui,2,2081.0,2.0,570.0,731.52,11409.384875136971
oui,master,Provence-Alpes-Côte d’Azur,oui,2,2026.0,4.0,512.0,924.7199999999999,11527.849288904372
non,master,Hauts-de-France,non,2,1812.0,4.0,573.0,1018.86,4528.047164231355
non,aucun,Occitanie,non,2,2114.0,5.0,578.0,901.4420000000002,1249.790933969471
oui,bac,Île-de-France,oui,1,1145.0,2.0,608.0,742.6659999999999,4860.788599208167
non,master,Bretagne,non,1,2198.0,2.0,570.0,1007.86,13220.440661457293
oui,bac,Hauts-de-France,non,2,1558.0,2.0,570.0,627.364,10671.781329490756
oui,master,Occitanie,oui,0,658.0,3.0,746.0,981.064,500.0
non,aucun,Provence-Alpes-Côte d’Azur,non,2,4535.0,1.0,590.0,633.008,14206.77024563424
oui,bac+2,Corse,oui,0,2049.0,3.0,803.0,830.1220000000001,500.0
oui,bac,Auvergne-Rhône-Alpes,non,3,2100.0,3.0,714.0,761.092,20661.25151659332
oui,aucun,Hauts-de-France,oui,4,500.0,2.0,570.0,675.4100000000001,500.0
oui,doctorat,Île-de-France,oui,3,4393.0,0.0,652.0,879.278,29263.17023286252
non,doctorat,Provence-Alpes-Côte d’Azur,non,0,1402.0,1.0,582.0,988.08,9366.040002502436
non,doctorat,Bretagne,non,0,513.0,4.0,573.0,877.58,500.0
non,master,Île-de-France,non,2,2311.0,4.0,573.0,836.356,1432.20236107023
non,bac+2,Hauts-de-France,non,2,1257.0,1.0,582.0,610.1220000000001,500.0
non,doctorat,Normandie,non,1,2041.0,1.0,582.0,633.1540000000001,500.0
oui,bac,Normandie,non,0,5090.0,5.0,810.0,535.5840000000001,27182.68395978345
non,aucun,Occitanie,oui,0,2343.0,4.0,557.0,884.36,500.0
oui,bac+2,Auvergne-Rhône-Alpes,oui,0,2965.0,3.0,575.0,1025.09,2166.631247397902
oui,doctorat,Provence-Alpes-Côte d’Azur,oui,2,2380.0,0.0,308.0,503.45,17462.143015487123
oui,bac+2,Hauts-de-France,oui,1,3684.0,4.0,573.0,1136.8,500.0
oui,aucun,Normandie,oui,3,1192.0,1.0,582.0,933.5,5763.180434924196
non,aucun,Provence-Alpes-Côte d’Azur,oui,0,4285.0,3.0,531.0,690.924,500.0
oui,master,Île-de-France,oui,3,2513.0,5.0,364.0,760.1780000000001,31407.572988740263
oui,doctorat,Île-de-France,non,0,2101.0,4.0,573.0,1033.78,33875.06410078224
oui,master,Bretagne,oui,0,617.0,3.0,575.0,868.302,500.0
non,bac+2,Bretagne,oui,2,2032.0,4.0,701.0,615.1719999999999,7737.499955731215
oui,master,Occitanie,oui,1,1852.0,2.0,570.0,644.8019999999999,500.0
oui,doctorat,Bretagne,non,4,1424.0,5.0,578.0,759.5139999999999,37136.094473360194
oui,bac+2,Normandie,non,1,1445.0,1.0,582.0,398.814,14308.004125403451
non,aucun,Hauts-de-France,oui,2,2420.0,2.0,570.0,931.494,500.0
non,doctorat,Hauts-de-France,non,3,571.0,4.0,441.0,766.95,11408.023243903188
oui,doctorat,Corse,oui,3,2912.0,3.0,575.0,936.092,20780.48620323101
oui,aucun,Occitanie,oui,0,1594.0,0.0,735.0,823.164,500.0
oui,doctorat,Hauts-de-France,non,3,1800.0,2.0,376.0,752.9019999999999,11799.602959003352
oui,bac+2,Occitanie,non,6,1581.0,5.0,638.0,398.98,14106.917610689245
oui,master,Île-de-France,oui,4,1638.0,0.0,793.0,923.6120000000001,34975.14845376448
non,doctorat,Île-de-France,non,5,2426.0,5.0,578.0,689.472,17447.598094092704
oui,aucun,Normandie,oui,2,2333.0,2.0,570.0,792.6780000000001,500.0
non,bac,Hauts-de-France,non,0,2976.0,5.0,578.0,917.24,500.0
oui,aucun,Provence-Alpes-Côte d’Azur,non,0,1301.0,4.0,573.0,729.7180000000001,500.0
oui,master,Normandie,non,2,2010.0,4.0,718.0,726.206,14815.163867904505
oui,bac+2,Provence-Alpes-Côte d’Azur,oui,3,2489.0,5.0,578.0,713.314,500.0
oui,doctorat,Occitanie,non,1,4515.0,5.0,702.0,694.5800000000002,3937.595089941852
oui,doctorat,Hauts-de-France,oui,2,2381.0,2.0,570.0,829.558,500.0
non,bac,Corse,non,1,2223.0,2.0,408.0,903.7,698.0021046306139
oui,bac+2,Bretagne,non,1,1527.0,3.0,668.0,900.04,13521.379486778746
oui,bac,Île-de-France,oui,6,2210.0,4.0,573.0,984.9,935.5619197828092
non,bac+2,Corse,oui,2,1161.0,0.0,560.0,511.82,500.0
oui,master,Bretagne,non,0,2426.0,2.0,570.0,912.2520000000001,500.0
oui,bac+2,Occitanie,non,1,1311.0,0.0,560.0,641.42,500.0
non,master,Auvergne-Rhône-Alpes,non,0,3022.0,2.0,715.0,782.2060000000001,22423.32025125373
oui,bac+2,Provence-Alpes-Côte d’Azur,oui,3,2594.0,1.0,375.0,691.63,14308.805753517516
non,doctorat,Occitanie,oui,3,2011.0,3.0,575.0,802.958,20422.83125621728
non,master,Corse,non,3,2669.0,0.0,421.0,756.918,11214.587584449271
non,bac+2,Hauts-de-France,oui,1,3556.0,0.0,629.0,733.8240000000001,500.0
non,master,Occitanie,non,0,2707.0,5.0,351.0,804.7719999999999,9481.854858038276
